repeticao,livro,sucesso,tempo_s,ttfb_s,tamanho_bytes,vazao_Bps
1,livro1.txt,True,1.9954064819976338,0.13695078899763757,500000,250575.5115616553
1,livro2.txt,True,6.191104469999118,0.22120767099841032,1000000,161522.06845253613
1,livro3.txt,True,15.647141864999867,0.10695900499922573,2000000,127818.87051677326
1,livro4.txt,True,17.15082873999927,0.12069732899908558,3000000,174918.66110256125
1,livro5.txt,True,30.486787246998574,0.1153703720010526,5000000,164005.47422366554
2,livro1.txt,True,3.6019847049974487,0.10420269400128745,500000,138812.36067057485
2,livro2.txt,True,5.776948345999699,0.1574184620003507,1000000,173101.77278847562
2,livro3.txt,True,11.374923310999293,0.18347070600066218,2000000,175825.36121945063
2,livro4.txt,True,16.840579411000363,0.10329177499806974,3000000,178141.1391368389
2,livro5.txt,True,29.084481954003422,0.10240242600048077,5000000,171912.9812216497
3,livro1.txt,True,3.2335206330026267,0.10535658500157297,500000,154630.21787979227
3,livro2.txt,True,6.388311664002686,0.10540323999885004,1000000,156535.88187233746
3,livro3.txt,True,10.373793942999328,0.1088982590008527,2000000,192793.495898353
3,livro4.txt,True,20.26422231199831,0.10814107199985301,3000000,148044.1713385527
3,livro5.txt,True,32.97482814899922,0.10497984399989946,5000000,151630.81297670837
4,livro1.txt,True,4.4578114279975125,0.213468963997002,500000,112162.66279451043
4,livro2.txt,True,6.437090479001199,0.10570440499941469,1000000,155349.68838206597
4,livro3.txt,True,13.578331509997952,0.10913441799857537,2000000,147293.5020423803
4,livro4.txt,True,16.039447379000194,0.10830958199949237,3000000,187038.862942858
4,livro5.txt,True,26.630109672998515,0.10621768200144288,5000000,187757.3942201871
5,livro1.txt,True,3.4582101779997174,0.21236554799907026,500000,144583.46204082013
5,livro2.txt,True,6.800124820001656,0.21819932500147843,1000000,147056.12418446114
5,livro3.txt,True,10.315269343998807,0.10559776500303997,2000000,193887.32696190383
5,livro4.txt,True,14.767422335000447,0.11591223900177283,3000000,203149.87490333122
5,livro5.txt,True,28.71295148900026,0.11146782099967822,5000000,174137.4446272257
6,livro1.txt,True,3.250383090999094,0.10431382400201983,500000,153828.0214983248
6,livro2.txt,True,7.200104924999323,0.1060386360004486,1000000,138886.86490219363
6,livro3.txt,True,13.734892520002177,0.10511789399970439,2000000,145614.53590462336
6,livro4.txt,True,17.92900117699901,0.20928863199878833,3000000,167326.6664653176
6,livro5.txt,True,30.18384186300318,0.10650461499972153,5000000,165651.54371977347
7,livro1.txt,True,3.6802750140013814,0.1125547320007172,500000,135859.41216289016
7,livro2.txt,True,5.387451770999178,0.11220499000046402,1000000,185616.51083041364
7,livro3.txt,True,12.31281387999843,0.1049824619985884,2000000,162432.40736781567
7,livro4.txt,True,16.103864689997863,0.10680568300085724,3000000,186290.6859782115
7,livro5.txt,True,29.57834904599804,0.10616927400042186,5000000,169042.56529748748
8,livro1.txt,True,2.2198922030001995,0.10754934700162266,500000,225236.1620641969
8,livro2.txt,True,6.601188970002113,0.10691547199894558,1000000,151487.86143591948
8,livro3.txt,True,10.784131180000259,0.10699836399726337,2000000,185457.6846866538
8,livro4.txt,True,15.717210769998928,0.10446832699744846,3000000,190873.5617216772
8,livro5.txt,True,33.311907041002996,0.10445786499985843,5000000,150096.48033196043
9,livro1.txt,True,3.6947749810024106,0.10297866800101474,500000,135326.23842341476
9,livro2.txt,True,5.79390981799952,0.10752150500047719,1000000,172595.0232938339
9,livro3.txt,True,12.576996058996883,0.10505308000210789,2000000,159020.4839548559
9,livro4.txt,True,18.449461390002398,0.10687564999898314,3000000,162606.372976594
9,livro5.txt,True,31.076255281001067,0.1071929320023628,5000000,160894.5464885798
10,livro1.txt,True,3.455718891000288,0.10616880299858167,500000,144687.6947375979
10,livro2.txt,True,5.825155339000048,0.10514097199848038,1000000,171669.24172903877
10,livro3.txt,True,9.640665175000322,0.10589659200195456,2000000,207454.5649802565
10,livro4.txt,True,20.888648011998157,0.10901004799961811,3000000,143618.6773924689
10,livro5.txt,True,32.54083133799941,0.10515383600068162,5000000,153653.11193390665
11,livro1.txt,True,3.2570582199987257,0.10549626799911493,500000,153512.76097244452
11,livro2.txt,True,5.291994510000222,0.10619134900116478,1000000,188964.6707135299
11,livro3.txt,True,12.158180867001647,0.10716586000125972,2000000,164498.29311457052
11,livro4.txt,True,18.39627311499862,0.10686075199919287,3000000,163076.50909759963
11,livro5.txt,True,30.817885977001424,0.21089483600007952,5000000,162243.44537231943
12,livro1.txt,True,4.4030613739996625,0.11080061300162924,500000,113557.3541973613
12,livro2.txt,True,6.673260269999446,0.10955577400090988,1000000,149851.79051020034
12,livro3.txt,True,10.013261667001643,0.11203883800044423,2000000,199735.11793773758
12,livro4.txt,True,19.452741053002683,0.10607527300089714,3000000,154219.91131357432
12,livro5.txt,True,29.425474396000936,0.10627830500015989,5000000,169920.7949109403
13,livro1.txt,True,2.6476817580005445,0.10411135100002866,500000,188844.4479738328
13,livro2.txt,True,4.746306871002162,0.10764556700087269,1000000,210690.12754096417
13,livro3.txt,True,12.857668005999585,0.10700368099787738,2000000,155549.20216222486
13,livro4.txt,True,19.441538263999973,0.10262889499790617,3000000,154308.77738492124
13,livro5.txt,True,32.73505229700095,0.10898488499879022,5000000,152741.4697442863
14,livro1.txt,True,2.4896242930008157,0.11592171200027224,500000,200833.51588658208
14,livro2.txt,True,6.223502957000164,0.10555960399869946,1000000,160681.21231873202
14,livro3.txt,True,12.444705362002423,0.10231285400004708,2000000,160710.91615448167
14,livro4.txt,True,19.5604272749988,0.1093401719990652,3000000,153370.88284540983
14,livro5.txt,True,31.048302981002053,0.10316799500287743,5000000,161039.3973242086
15,livro1.txt,True,2.435995941999863,0.11616578299799585,500000,205254.857522266
15,livro2.txt,True,7.505981646001601,0.10198891400068533,1000000,133227.0777044459
15,livro3.txt,True,12.30679698899985,0.23033051500169677,2000000,162511.82186458868
15,livro4.txt,True,17.658906273998582,0.2132936369998788,3000000,169885.9461311755
15,livro5.txt,True,30.678616328001226,0.10476217799805454,5000000,162979.97101767466
